timestamp,flow_id,in_iface,event_type,src_ip,src_port,dest_ip,dest_port,proto,app_proto,flow,stats,pkt_src,dns,icmp_type,icmp_code,dhcp,tx_id,http,tcp,tls,ssh
2024-07-09T14:55:09.474466+0800,56487661391177.0,ens33,flow,192.168.179.133,44154.0,192.168.179.2,53.0,UDP,dns,"{'pkts_toserver': 1, 'pkts_toclient': 1, 'bytes_toserver': 93, 'bytes_toclient': 156, 'start': '2024-07-09T14:50:00.013152+0800', 'end': '2024-07-09T14:50:00.026908+0800', 'age': 0, 'state': 'established', 'reason': 'timeout', 'alerted': False}",,,,,,,,,,,
2024-07-09T14:55:09.474530+0800,1973780535695894.0,ens33,flow,192.168.179.133,45086.0,192.168.179.2,53.0,UDP,dns,"{'pkts_toserver': 1, 'pkts_toclient': 1, 'bytes_toserver': 99, 'bytes_toclient': 172, 'start': '2024-07-09T14:49:59.131876+0800', 'end': '2024-07-09T14:49:59.332753+0800', 'age': 0, 'state': 'established', 'reason': 'timeout', 'alerted': False}",,,,,,,,,,,
2024-07-09T14:55:09.474536+0800,656598920257871.0,ens33,flow,192.168.179.133,56349.0,192.168.179.2,53.0,UDP,dns,"{'pkts_toserver': 1, 'pkts_toclient': 1, 'bytes_toserver': 103, 'bytes_toclient': 292, 'start': '2024-07-09T14:50:02.742700+0800', 'end': '2024-07-09T14:50:02.803232+0800', 'age': 0, 'state': 'established', 'reason': 'timeout', 'alerted': False}",,,,,,,,,,,
2024-07-09T14:55:09.860025+0800,,,stats,,,,,,,,"{'uptime': 1619, 'capture': {'kernel_packets': 662602, 'kernel_drops': 0, 'errors': 0, 'afpacket': {'busy_loop_avg': 0, 'polls': 179627, 'poll_signal': 0, 'poll_timeout': 56060, 'poll_data': 123567, 'poll_errors': 0, 'send_errors': 0}}, 'decoder': {'pkts': 662602, 'bytes': 801723631, 'invalid': 0, 'ipv4': 662284, 'ipv6': 34, 'ethernet': 662602, 'arp': 284, 'unknown_ethertype': 0, 'chdlc': 0, 'raw': 0, 'null': 0, 'sll': 0, 'tcp': 661908, 'udp': 394, 'sctp': 0, 'esp': 0, 'icmpv4': 0, 'icmpv6': 11, 'ppp': 0, 'pppoe': 0, 'geneve': 0, 'gre': 0, 'vlan': 0, 'vlan_qinq': 0, 'vlan_qinqinq': 0, 'vxlan': 0, 'vntag': 0, 'ieee8021ah': 0, 'teredo': 0, 'ipv4_in_ipv6': 0, 'ipv6_in_ipv6': 0, 'mpls': 0, 'avg_pkt_size': 1209, 'max_pkt_size': 1514, 'max_mac_addrs_src': 0, 'max_mac_addrs_dst': 0, 'erspan': 0, 'nsh': 0, 'event': {'ipv4': {'pkt_too_small': 0, 'hlen_too_small': 0, 'iplen_smaller_than_hlen': 0, 'trunc_pkt': 0, 'opt_invalid': 0, 'opt_invalid_len': 0, 'opt_malformed': 0, 'opt_pad_required': 5, 'opt_eol_required': 0, 'opt_duplicate': 0, 'opt_unknown': 0, 'wrong_ip_version': 0, 'icmpv6': 0, 'frag_pkt_too_large': 0, 'frag_overlap': 0, 'frag_ignored': 0}, 'icmpv4': {'pkt_too_small': 0, 'unknown_type': 0, 'unknown_code': 0, 'ipv4_trunc_pkt': 0, 'ipv4_unknown_ver': 0}, 'icmpv6': {'unknown_type': 0, 'unknown_code': 0, 'pkt_too_small': 0, 'ipv6_unknown_version': 0, 'ipv6_trunc_pkt': 0, 'mld_message_with_invalid_hl': 0, 'unassigned_type': 0, 'experimentation_type': 0}, 'ipv6': {'pkt_too_small': 0, 'trunc_pkt': 0, 'trunc_exthdr': 0, 'exthdr_dupl_fh': 0, 'exthdr_useless_fh': 0, 'exthdr_dupl_rh': 0, 'exthdr_dupl_hh': 0, 'exthdr_dupl_dh': 0, 'exthdr_dupl_ah': 0, 'exthdr_dupl_eh': 0, 'exthdr_invalid_optlen': 0, 'wrong_ip_version': 0, 'exthdr_ah_res_not_null': 0, 'hopopts_unknown_opt': 0, 'hopopts_only_padding': 0, 'dstopts_unknown_opt': 0, 'dstopts_only_padding': 0, 'rh_type_0': 0, 'zero_len_padn': 7, 'fh_non_zero_reserved_field': 0, 'data_after_none_header': 0, 'unknown_next_header': 0, 'icmpv4': 0, 'frag_pkt_too_large': 0, 'frag_overlap': 0, 'frag_invalid_length': 0, 'frag_ignored': 0, 'ipv4_in_ipv6_too_small': 0, 'ipv4_in_ipv6_wrong_version': 0, 'ipv6_in_ipv6_too_small': 0, 'ipv6_in_ipv6_wrong_version': 0}, 'tcp': {'pkt_too_small': 0, 'hlen_too_small': 0, 'invalid_optlen': 0, 'opt_invalid_len': 0, 'opt_duplicate': 0}, 'udp': {'pkt_too_small': 0, 'hlen_too_small': 0, 'hlen_invalid': 0, 'len_invalid': 0}, 'sll': {'pkt_too_small': 0}, 'ethernet': {'pkt_too_small': 0}, 'ppp': {'pkt_too_small': 0, 'vju_pkt_too_small': 0, 'ip4_pkt_too_small': 0, 'ip6_pkt_too_small': 0, 'wrong_type': 0, 'unsup_proto': 0}, 'pppoe': {'pkt_too_small': 0, 'wrong_code': 0, 'malformed_tags': 0}, 'gre': {'pkt_too_small': 0, 'wrong_version': 0, 'version0_recur': 0, 'version0_flags': 0, 'version0_hdr_too_big': 0, 'version0_malformed_sre_hdr': 0, 'version1_chksum': 0, 'version1_route': 0, 'version1_ssr': 0, 'version1_recur': 0, 'version1_flags': 0, 'version1_no_key': 0, 'version1_wrong_protocol': 0, 'version1_malformed_sre_hdr': 0, 'version1_hdr_too_big': 0}, 'vlan': {'header_too_small': 0, 'unknown_type': 0, 'too_many_layers': 0}, 'ieee8021ah': {'header_too_small': 0}, 'vntag': {'header_too_small': 0, 'unknown_type': 0}, 'ipraw': {'invalid_ip_version': 0}, 'ltnull': {'pkt_too_small': 0, 'unsupported_type': 0}, 'sctp': {'pkt_too_small': 0}, 'esp': {'pkt_too_small': 0}, 'mpls': {'header_too_small': 0, 'pkt_too_small': 0, 'bad_label_router_alert': 0, 'bad_label_implicit_null': 0, 'bad_label_reserved': 0, 'unknown_payload_type': 0}, 'vxlan': {'unknown_payload_type': 0}, 'geneve': {'unknown_payload_type': 0}, 'erspan': {'header_too_small': 0, 'unsupported_version': 0, 'too_many_vlan_layers': 0}, 'dce': {'pkt_too_small': 0}, 'chdlc': {'pkt_too_small': 0}, 'nsh': {'header_too_small': 0, 'unsupported_version': 0, 'bad_header_length': 0, 'reserved_type': 0, 'unsupported_type': 0, 'unknown_payload': 0}}, 'too_many_layers': 0}, 'tcp': {'syn': 70, 'synack': 69, 'rst': 16, 'active_sessions': 0, 'sessions': 69, 'ssn_memcap_drop': 0, 'ssn_from_cache': 36, 'ssn_from_pool': 33, 'pseudo': 0, 'pseudo_failed': 0, 'invalid_checksum': 0, 'midstream_pickups': 0, 'pkt_on_wrong_thread': 0, 'ack_unseen_data': 0, 'segment_memcap_drop': 0, 'segment_from_cache': 735, 'segment_from_pool': 2679, 'stream_depth_reached': 3, 'reassembly_gap': 0, 'overlap': 0, 'overlap_diff_data': 0, 'insert_data_normal_fail': 0, 'insert_data_overlap_fail': 0, 'memuse': 2424832, 'reassembly_memuse': 458752}, 'flow': {'memcap': 0, 'total': 246, 'active': 59, 'tcp': 70, 'udp': 170, 'icmpv4': 0, 'icmpv6': 6, 'tcp_reuse': 0, 'get_used': 0, 'get_used_eval': 0, 'get_used_eval_reject': 0, 'get_used_eval_busy': 0, 'get_used_failed': 0, 'wrk': {'spare_sync_avg': 100, 'spare_sync': 4, 'spare_sync_incomplete': 0, 'spare_sync_empty': 0, 'flows_evicted_needs_work': 64, 'flows_evicted_pkt_inject': 64, 'flows_evicted': 7, 'flows_injected': 64, 'flows_injected_max': 1}, 'end': {'state': {'new': 34, 'established': 84, 'closed': 69, 'local_bypassed': 0, 'capture_bypassed': 0}, 'tcp_state': {'none': 0, 'syn_sent': 0, 'syn_recv': 0, 'established': 0, 'fin_wait1': 0, 'fin_wait2': 0, 'time_wait': 0, 'last_ack': 0, 'close_wait': 0, 'closing': 0, 'closed': 69}, 'tcp_liberal': 0}, 'mgr': {'full_hash_pass': 154, 'rows_per_sec': 6553, 'rows_maxlen': 1, 'flows_checked': 510, 'flows_notimeout': 323, 'flows_timeout': 187, 'flows_evicted': 187, 'flows_evicted_needs_work': 64}, 'spare': 9723, 'emerg_mode_entered': 0, 'emerg_mode_over': 0, 'recycler': {'recycled': 123, 'queue_avg': 0, 'queue_max': 7}, 'memuse': 7154304}, 'defrag': {'ipv4': {'fragments': 0, 'reassembled': 0}, 'ipv6': {'fragments': 0, 'reassembled': 0}, 'max_frag_hits': 0}, 'flow_bypassed': {'local_pkts': 0, 'local_bytes': 0, 'local_capture_pkts': 0, 'local_capture_bytes': 0, 'closed': 0, 'pkts': 0, 'bytes': 0}, 'detect': {'engines': [{'id': 0, 'last_reload': '2024-07-09T14:29:24.699536+0800', 'rules_loaded': 43439, 'rules_failed': 0, 'rules_skipped': 0}], 'alert': 0, 'alert_queue_overflow': 0, 'alerts_suppressed': 0}, 'app_layer': {'flow': {'http': 5, 'ftp': 0, 'smtp': 0, 'tls': 64, 'ssh': 0, 'imap': 0, 'smb': 0, 'dcerpc_tcp': 0, 'dns_tcp': 0, 'nfs_tcp': 0, 'ntp': 4, 'ftp-data': 0, 'tftp': 0, 'ike': 0, 'krb5_tcp': 0, 'quic': 0, 'dhcp': 2, 'snmp': 0, 'sip': 0, 'rfb': 0, 'mqtt': 0, 'pgsql': 0, 'telnet': 0, 'rdp': 0, 'bittorrent-dht': 0, 'failed_tcp': 0, 'dcerpc_udp': 0, 'dns_udp': 136, 'nfs_udp': 0, 'krb5_udp': 0, 'failed_udp': 28}, 'tx': {'http': 5, 'ftp': 0, 'smtp': 0, 'tls': 0, 'ssh': 0, 'imap': 0, 'smb': 0, 'dcerpc_tcp': 0, 'dns_tcp': 0, 'nfs_tcp': 0, 'ntp': 5, 'ftp-data': 0, 'tftp': 0, 'ike': 0, 'krb5_tcp': 0, 'quic': 0, 'dhcp': 4, 'snmp': 0, 'sip': 0, 'rfb': 0, 'mqtt': 0, 'pgsql': 0, 'telnet': 0, 'rdp': 0, 'bittorrent-dht': 0, 'dcerpc_udp': 0, 'dns_udp': 280, 'nfs_udp': 0, 'krb5_udp': 0}, 'error': {'http': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'ftp': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'smtp': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'tls': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'ssh': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'imap': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'smb': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'dcerpc_tcp': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'dns_tcp': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'nfs_tcp': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'ntp': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'ftp-data': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'tftp': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'ike': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'krb5_tcp': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'quic': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'dhcp': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'snmp': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'sip': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'rfb': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'mqtt': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'pgsql': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'telnet': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'rdp': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'bittorrent-dht': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'failed_tcp': {'gap': 0}, 'dcerpc_udp': {'alloc': 0, 'parser': 0, 'internal': 0}, 'dns_udp': {'alloc': 0, 'parser': 0, 'internal': 0}, 'nfs_udp': {'alloc': 0, 'parser': 0, 'internal': 0}, 'krb5_udp': {'alloc': 0, 'parser': 0, 'internal': 0}}, 'expectations': 0}, 'memcap_pressure': 5, 'memcap_pressure_max': 5, 'http': {'memuse': 0, 'memcap': 0}, 'ftp': {'memuse': 0, 'memcap': 0}, 'file_store': {'open_files': 0}}",,,,,,,,,,
2024-07-09T14:55:12.463074+0800,653483042479191.0,ens33,flow,192.168.179.133,60390.0,192.168.179.2,53.0,UDP,dns,"{'pkts_toserver': 1, 'pkts_toclient': 1, 'bytes_toserver': 103, 'bytes_toclient': 235, 'start': '2024-07-09T14:50:02.741974+0800', 'end': '2024-07-09T14:50:02.803275+0800', 'age': 0, 'state': 'established', 'reason': 'timeout', 'alerted': False}",,,,,,,,,,,
2024-07-09T14:55:12.463124+0800,637347052461245.0,ens33,flow,192.168.179.133,58365.0,192.168.179.2,53.0,UDP,dns,"{'pkts_toserver': 1, 'pkts_toclient': 1, 'bytes_toserver': 125, 'bytes_toclient': 208, 'start': '2024-07-09T14:50:02.803753+0800', 'end': '2024-07-09T14:50:02.809452+0800', 'age': 0, 'state': 'established', 'reason': 'timeout', 'alerted': False}",,,,,,,,,,,
2024-07-09T14:55:17.860460+0800,,,stats,,,,,,,,"{'uptime': 1627, 'capture': {'kernel_packets': 662783, 'kernel_drops': 0, 'errors': 0, 'afpacket': {'busy_loop_avg': 0, 'polls': 180100, 'poll_signal': 0, 'poll_timeout': 56381, 'poll_data': 123719, 'poll_errors': 0, 'send_errors': 0}}, 'decoder': {'pkts': 662783, 'bytes': 801748961, 'invalid': 0, 'ipv4': 662459, 'ipv6': 34, 'ethernet': 662783, 'arp': 290, 'unknown_ethertype': 0, 'chdlc': 0, 'raw': 0, 'null': 0, 'sll': 0, 'tcp': 662083, 'udp': 394, 'sctp': 0, 'esp': 0, 'icmpv4': 0, 'icmpv6': 11, 'ppp': 0, 'pppoe': 0, 'geneve': 0, 'gre': 0, 'vlan': 0, 'vlan_qinq': 0, 'vlan_qinqinq': 0, 'vxlan': 0, 'vntag': 0, 'ieee8021ah': 0, 'teredo': 0, 'ipv4_in_ipv6': 0, 'ipv6_in_ipv6': 0, 'mpls': 0, 'avg_pkt_size': 1209, 'max_pkt_size': 1514, 'max_mac_addrs_src': 0, 'max_mac_addrs_dst': 0, 'erspan': 0, 'nsh': 0, 'event': {'ipv4': {'pkt_too_small': 0, 'hlen_too_small': 0, 'iplen_smaller_than_hlen': 0, 'trunc_pkt': 0, 'opt_invalid': 0, 'opt_invalid_len': 0, 'opt_malformed': 0, 'opt_pad_required': 5, 'opt_eol_required': 0, 'opt_duplicate': 0, 'opt_unknown': 0, 'wrong_ip_version': 0, 'icmpv6': 0, 'frag_pkt_too_large': 0, 'frag_overlap': 0, 'frag_ignored': 0}, 'icmpv4': {'pkt_too_small': 0, 'unknown_type': 0, 'unknown_code': 0, 'ipv4_trunc_pkt': 0, 'ipv4_unknown_ver': 0}, 'icmpv6': {'unknown_type': 0, 'unknown_code': 0, 'pkt_too_small': 0, 'ipv6_unknown_version': 0, 'ipv6_trunc_pkt': 0, 'mld_message_with_invalid_hl': 0, 'unassigned_type': 0, 'experimentation_type': 0}, 'ipv6': {'pkt_too_small': 0, 'trunc_pkt': 0, 'trunc_exthdr': 0, 'exthdr_dupl_fh': 0, 'exthdr_useless_fh': 0, 'exthdr_dupl_rh': 0, 'exthdr_dupl_hh': 0, 'exthdr_dupl_dh': 0, 'exthdr_dupl_ah': 0, 'exthdr_dupl_eh': 0, 'exthdr_invalid_optlen': 0, 'wrong_ip_version': 0, 'exthdr_ah_res_not_null': 0, 'hopopts_unknown_opt': 0, 'hopopts_only_padding': 0, 'dstopts_unknown_opt': 0, 'dstopts_only_padding': 0, 'rh_type_0': 0, 'zero_len_padn': 7, 'fh_non_zero_reserved_field': 0, 'data_after_none_header': 0, 'unknown_next_header': 0, 'icmpv4': 0, 'frag_pkt_too_large': 0, 'frag_overlap': 0, 'frag_invalid_length': 0, 'frag_ignored': 0, 'ipv4_in_ipv6_too_small': 0, 'ipv4_in_ipv6_wrong_version': 0, 'ipv6_in_ipv6_too_small': 0, 'ipv6_in_ipv6_wrong_version': 0}, 'tcp': {'pkt_too_small': 0, 'hlen_too_small': 0, 'invalid_optlen': 0, 'opt_invalid_len': 0, 'opt_duplicate': 0}, 'udp': {'pkt_too_small': 0, 'hlen_too_small': 0, 'hlen_invalid': 0, 'len_invalid': 0}, 'sll': {'pkt_too_small': 0}, 'ethernet': {'pkt_too_small': 0}, 'ppp': {'pkt_too_small': 0, 'vju_pkt_too_small': 0, 'ip4_pkt_too_small': 0, 'ip6_pkt_too_small': 0, 'wrong_type': 0, 'unsup_proto': 0}, 'pppoe': {'pkt_too_small': 0, 'wrong_code': 0, 'malformed_tags': 0}, 'gre': {'pkt_too_small': 0, 'wrong_version': 0, 'version0_recur': 0, 'version0_flags': 0, 'version0_hdr_too_big': 0, 'version0_malformed_sre_hdr': 0, 'version1_chksum': 0, 'version1_route': 0, 'version1_ssr': 0, 'version1_recur': 0, 'version1_flags': 0, 'version1_no_key': 0, 'version1_wrong_protocol': 0, 'version1_malformed_sre_hdr': 0, 'version1_hdr_too_big': 0}, 'vlan': {'header_too_small': 0, 'unknown_type': 0, 'too_many_layers': 0}, 'ieee8021ah': {'header_too_small': 0}, 'vntag': {'header_too_small': 0, 'unknown_type': 0}, 'ipraw': {'invalid_ip_version': 0}, 'ltnull': {'pkt_too_small': 0, 'unsupported_type': 0}, 'sctp': {'pkt_too_small': 0}, 'esp': {'pkt_too_small': 0}, 'mpls': {'header_too_small': 0, 'pkt_too_small': 0, 'bad_label_router_alert': 0, 'bad_label_implicit_null': 0, 'bad_label_reserved': 0, 'unknown_payload_type': 0}, 'vxlan': {'unknown_payload_type': 0}, 'geneve': {'unknown_payload_type': 0}, 'erspan': {'header_too_small': 0, 'unsupported_version': 0, 'too_many_vlan_layers': 0}, 'dce': {'pkt_too_small': 0}, 'chdlc': {'pkt_too_small': 0}, 'nsh': {'header_too_small': 0, 'unsupported_version': 0, 'bad_header_length': 0, 'reserved_type': 0, 'unsupported_type': 0, 'unknown_payload': 0}}, 'too_many_layers': 0}, 'tcp': {'syn': 70, 'synack': 69, 'rst': 16, 'active_sessions': 0, 'sessions': 69, 'ssn_memcap_drop': 0, 'ssn_from_cache': 36, 'ssn_from_pool': 33, 'pseudo': 0, 'pseudo_failed': 0, 'invalid_checksum': 0, 'midstream_pickups': 0, 'pkt_on_wrong_thread': 0, 'ack_unseen_data': 0, 'segment_memcap_drop': 0, 'segment_from_cache': 735, 'segment_from_pool': 2679, 'stream_depth_reached': 3, 'reassembly_gap': 0, 'overlap': 0, 'overlap_diff_data': 0, 'insert_data_normal_fail': 0, 'insert_data_overlap_fail': 0, 'memuse': 2424832, 'reassembly_memuse': 458752}, 'flow': {'memcap': 0, 'total': 246, 'active': 54, 'tcp': 70, 'udp': 170, 'icmpv4': 0, 'icmpv6': 6, 'tcp_reuse': 0, 'get_used': 0, 'get_used_eval': 0, 'get_used_eval_reject': 0, 'get_used_eval_busy': 0, 'get_used_failed': 0, 'wrk': {'spare_sync_avg': 100, 'spare_sync': 4, 'spare_sync_incomplete': 0, 'spare_sync_empty': 0, 'flows_evicted_needs_work': 64, 'flows_evicted_pkt_inject': 64, 'flows_evicted': 7, 'flows_injected': 64, 'flows_injected_max': 1}, 'end': {'state': {'new': 34, 'established': 89, 'closed': 69, 'local_bypassed': 0, 'capture_bypassed': 0}, 'tcp_state': {'none': 0, 'syn_sent': 0, 'syn_recv': 0, 'established': 0, 'fin_wait1': 0, 'fin_wait2': 0, 'time_wait': 0, 'last_ack': 0, 'close_wait': 0, 'closing': 0, 'closed': 69}, 'tcp_liberal': 0}, 'mgr': {'full_hash_pass': 155, 'rows_per_sec': 6553, 'rows_maxlen': 1, 'flows_checked': 515, 'flows_notimeout': 323, 'flows_timeout': 192, 'flows_evicted': 192, 'flows_evicted_needs_work': 64}, 'spare': 9728, 'emerg_mode_entered': 0, 'emerg_mode_over': 0, 'recycler': {'recycled': 128, 'queue_avg': 0, 'queue_max': 7}, 'memuse': 7154304}, 'defrag': {'ipv4': {'fragments': 0, 'reassembled': 0}, 'ipv6': {'fragments': 0, 'reassembled': 0}, 'max_frag_hits': 0}, 'flow_bypassed': {'local_pkts': 0, 'local_bytes': 0, 'local_capture_pkts': 0, 'local_capture_bytes': 0, 'closed': 0, 'pkts': 0, 'bytes': 0}, 'detect': {'engines': [{'id': 0, 'last_reload': '2024-07-09T14:29:24.699536+0800', 'rules_loaded': 43439, 'rules_failed': 0, 'rules_skipped': 0}], 'alert': 0, 'alert_queue_overflow': 0, 'alerts_suppressed': 0}, 'app_layer': {'flow': {'http': 5, 'ftp': 0, 'smtp': 0, 'tls': 64, 'ssh': 0, 'imap': 0, 'smb': 0, 'dcerpc_tcp': 0, 'dns_tcp': 0, 'nfs_tcp': 0, 'ntp': 4, 'ftp-data': 0, 'tftp': 0, 'ike': 0, 'krb5_tcp': 0, 'quic': 0, 'dhcp': 2, 'snmp': 0, 'sip': 0, 'rfb': 0, 'mqtt': 0, 'pgsql': 0, 'telnet': 0, 'rdp': 0, 'bittorrent-dht': 0, 'failed_tcp': 0, 'dcerpc_udp': 0, 'dns_udp': 136, 'nfs_udp': 0, 'krb5_udp': 0, 'failed_udp': 28}, 'tx': {'http': 5, 'ftp': 0, 'smtp': 0, 'tls': 0, 'ssh': 0, 'imap': 0, 'smb': 0, 'dcerpc_tcp': 0, 'dns_tcp': 0, 'nfs_tcp': 0, 'ntp': 5, 'ftp-data': 0, 'tftp': 0, 'ike': 0, 'krb5_tcp': 0, 'quic': 0, 'dhcp': 4, 'snmp': 0, 'sip': 0, 'rfb': 0, 'mqtt': 0, 'pgsql': 0, 'telnet': 0, 'rdp': 0, 'bittorrent-dht': 0, 'dcerpc_udp': 0, 'dns_udp': 280, 'nfs_udp': 0, 'krb5_udp': 0}, 'error': {'http': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'ftp': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'smtp': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'tls': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'ssh': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'imap': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'smb': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'dcerpc_tcp': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'dns_tcp': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'nfs_tcp': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'ntp': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'ftp-data': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'tftp': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'ike': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'krb5_tcp': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'quic': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'dhcp': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'snmp': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'sip': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'rfb': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'mqtt': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'pgsql': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'telnet': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'rdp': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'bittorrent-dht': {'gap': 0, 'alloc': 0, 'parser': 0, 'internal': 0}, 'failed_tcp': {'gap': 0}, 'dcerpc_udp': {'alloc': 0, 'parser': 0, 'internal': 0}, 'dns_udp': {'alloc': 0, 'parser': 0, 'internal': 0}, 'nfs_udp': {'alloc': 0, 'parser': 0, 'internal': 0}, 'krb5_udp': {'alloc': 0, 'parser': 0, 'internal': 0}}, 'expectations': 0}, 'memcap_pressure': 5, 'memcap_pressure_max': 5, 'http': {'memuse': 0, 'memcap': 0}, 'ftp': {'memuse': 0, 'memcap': 0}, 'file_store': {'open_files': 0}}",,,,,,,,,,
2024-07-09T14:55:25.092189+0800,1416827570586879.0,ens33,dns,192.168.179.133,33395.0,192.168.179.2,53.0,UDP,,,,wire/pcap,"{'version': 2, 'type': 'answer', 'id': 54704, 'flags': '8180', 'qr': True, 'rd': True, 'ra': True, 'opcode': 0, 'rrname': 'copilot-telemetry-service.githubusercontent.com', 'rrtype': 'AAAA', 'rcode': 'NOERROR', 'answers': [{'rrname': 'copilot-telemetry-service.githubusercontent.com', 'rrtype': 'CNAME', 'ttl': 5, 'rdata': 'glb-db52c2cf8be544.github.com'}], 'grouped': {'CNAME': ['glb-db52c2cf8be544.github.com']}, 'authorities': [{'rrname': 'github.com', 'rrtype': 'SOA', 'ttl': 5, 'soa': {'mname': 'dns1.p08.nsone.net', 'rname': 'hostmaster.nsone.net', 'serial': 1656468023, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minimum': 3600}}]}",,,,,,,,
2024-07-09T14:55:25.092874+0800,1524794420073465.0,ens33,dns,192.168.179.133,33792.0,192.168.179.2,53.0,UDP,,,,wire/pcap,"{'type': 'query', 'id': 25991, 'rrname': 'glb-db52c2cf8be544.github.com', 'rrtype': 'AAAA', 'tx_id': 0, 'opcode': 0}",,,,,,,,
2024-07-09T14:55:25.103201+0800,1524794420073465.0,ens33,dns,192.168.179.133,33792.0,192.168.179.2,53.0,UDP,,,,wire/pcap,"{'version': 2, 'type': 'answer', 'id': 25991, 'flags': '8180', 'qr': True, 'rd': True, 'ra': True, 'opcode': 0, 'rrname': 'glb-db52c2cf8be544.github.com', 'rrtype': 'AAAA', 'rcode': 'NOERROR', 'authorities': [{'rrname': 'github.com', 'rrtype': 'SOA', 'ttl': 5, 'soa': {'mname': 'dns1.p08.nsone.net', 'rname': 'hostmaster.nsone.net', 'serial': 1656468023, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minimum': 3600}}]}",,,,,,,,
